codigo_postal,nombre_entidad_singular,municipio_id,nombre
44157,HINOJOSA DE JARQUE,44123,Hinojosa de Jarque
44158,CIRUJEDA,44017,Aliaga
44159,MIRAVETE DE LA SIERRA,44150,Miravete de la Sierra
44160,ALFAMBRA,44016,Alfambra
44161,VILLALBA ALTA,44182,Perales del Alfambra
44162,VILLALBA BAJA,44216,Teruel
44163,PERALES DEL ALFAMBRA,44182,Perales del Alfambra
44164,VISIEDO,44266,Visiedo
44165,ARGENTE,44028,Argente
44166,RUBIELOS DE LA CERIDA,44200,Rubielos de la Cérida
44167,CAMAÑAS,44053,Camañas
44168,GALVE,44115,Galve
44169,MEZQUITA DE JARQUE,44148,Mezquita de Jarque
44190,VILLASPESA,44216,Teruel
44191,VALACLOCHE,44239,Valacloche
44192,CASTRALVO,44216,Teruel
44193,VALDECEBRO,44216,Teruel
44194,CELADAS,44075,Celadas
44195,SAN BLAS,44216,Teruel
44200,CALAMOCHA,44050,Calamocha
44210,CUTANDA,44050,Calamocha
44211,VALVERDE,44050,Calamocha
44212,PIEDRAHITA,44138,Loscos
44213,PLOU,44184,Plou
44220,NUEROS,44050,Calamocha
44221,GODOS,44222,Torrecilla del Rebollar
44222,TORRECILLA DEL REBOLLAR,44222,Torrecilla del Rebollar
44223,VILLANUEVA DEL REBOLLAR,44256,Villanueva del Rebollar de la Sierra
44230,TORNOS,44219,Tornos
44231,CASTEJON DE TORNOS,44065,Castejón de Tornos
44232,BELLO,44039,Bello
44233,ODON,44168,Odón
44300,MONREAL DEL CAMPO,44153,Monreal del Campo
44310,RODENAS,44197,Ródenas
44311,VILLAR DEL SALZ,44258,Villar del Salz
44312,SIERRA MENERA,44169,Ojos Negros
44313,OJOS NEGROS,44169,Ojos Negros
44314,BLANCAS,44042,Blancas
44315,POZUEL DEL CAMPO,44190,Pozuel del Campo
44320,BAGUENA,44033,Báguena
44330,BURBAGUENA,44047,Burbáguena
44340,FUENTES CLARAS,44112,Fuentes Claras
44350,CAMINREAL,44056,Caminreal
44357,VILLAREJO DE LOS OLMOS,44050,Calamocha
44358,TORRE LOS NEGROS,44227,Torre los Negros
44359,TORRALBA DE LOS SISONES,44220,Torralba de los Sisones
